gene_symbol	associated_genes
BCL2L2-PABPN1	PABPN1L,BCL2L1,BCL2,RBM34,BAK1,CSTF2T,BAX,CSTF2,BOK,SRSF2,RBM19,DAZAP1,RBM3,BCL2A1,SLIRP,RBM39,SREK1,SRSF10,HNRNPAB,SRSF8,RBM23,RBM7,EIF4H,CELF4,ZCRB1,SNRNP70,LARP7,HNRNPA3,U2AF2,SRSF7,HNRNPA0,EIF4B,HNRNPA1L2,HNRPDL,SRSF12,CIRBP,RBM11,RBM38,BOLL,EWSR1,PUF60,MCL1,HNRNPA1,HNRNPD,RBMXL2,MSI1,EIF3G,HNRNPA3P1
RBM25	PABPC5,CSTF2T,CSTF2,PABPC4,U2AF2,PABPC1,RBM19,RBM7,RBM11
TRNAU1AP	PABPC4L,C6orf52,PABPC1,TIAL1,SF3B4,PABPC4,ELAVL3,TIA1,PABPC3,ELAVL2,ELAVL4,PABPC1L2B,PABPC1L2A,PABPC5,PABPC1L,ELAVL1,NCL,RBM42,HNRPDL,RBM23,RBM39,DAZL,BOLL,CELF4,HNRNPD,PSPC1,CELF6,DAZAP1,HNRNPAB,RBM45,DAZ1,DAZ3,DAZ4,DAZ2,CSTF2T,RBMS1,SPEN,RBM18,CSTF2,RBM34,CELF3,SART3
TDRD10	PABPC4,PABPC5,PABPC1L,PABPC1
PUF60	PABPC4,PABPC1,PABPC4L,PABPC3,RBM39,PABPC1L,PABPC1L2B,PABPC1L2A,RBM23,PABPC5,SF3B4,TIA1,CELF4,RBM17,TIAL1,RBM45,MSI2,ELAVL1,RBM19,MSI1,U2AF2,ELAVL3,PPIE,CELF3,ELAVL4,ELAVL2,DAZAP1,HNRNPD,CELF6,CELF5,LOC81691,HNRNPA3,RBM28,RBM4B,HNRNPA3P1,HNRNPA1,HNRNPA1L2,HNRPDL,CSTF2T,HNRNPA0,CSTF2,RBM8A,CELF2,HNRNPAB,RBM3,RBMX2,HTATSF1,RBM47,RBMS2,HNRNPA2B1,NCL,RAVER1,CELF1,RBMS1,SYNCRIP,HNRNPR,RBMXL2,CIRBP,PPIL4,SFPQ,RBMX,RBMXL1,RBMY1F,SRSF2,EIF3G,TRA2B,TRA2A,RBMS3,RBMY1B,RBMY1B,RBMY1B,RBM14,RNPS1,SRSF8,SNRNP70,RBM15B,NCBP2,RBM46,RBMXL3,SNRNP35,RBM34,BOLL,SRSF3,RALYL,UHMK1,ZCRB1,NELFE,RBFOX3,NELFE,NELFE,NELFE,NELFE,NELFE,RAVER2,SRSF7,TARDBP,RBM38,RBM42,MKI67IP,PSPC1
SF3B4	PABPC4,PABPC1,PABPC4L,PABPC3,PABPC5,PABPC1L,PABPC1L2B,PABPC1L2A,TIAL1,TIA1,ELAVL2,ELAVL4,ELAVL1,ELAVL3,PUF60,RBM39,RBM23,RBM7,RBM11,NCL,HNRPDL,CELF5,CELF4,HNRNPA3,HNRNPD,RBM28,HNRNPAB,TRNAU1AP,CELF1,CELF6,RBMS2,RBMS3,PPIE,RBMS1,CELF2,HNRNPA1,HNRNPA1L2,HNRNPA3P1,HNRNPA2B1,CELF3,HNRNPA0,PABPC1P2,RBM3,CSTF2,RBMXL2,RBMXL1,DAZAP1,RBM42,RBMX,RBMXL3,CIRBP,SYNCRIP,SFPQ,CSTF2T,RBMY1F,RBM8A,MYEF2,RBMY1B,RBMY1B,RBMY1B,RBM15B,HNRNPM,HNRNPR,PSPC1,NONO,RBMX2,RBM15,U2AF2,IGF2BP3,RBM18,MSI1,RBM4B,RBM34,ZCRB1,MKI67IP,EIF3G,DAZL,SRSF5,LARP7,BOLL,NCBP2,TRA2A,TARDBP,MSI2,SRSF2,RBM38,RBM46,RBM19,RBMY2FP,SNRNP35,DAZ1,DAZ3,DAZ4,DAZ2,RBM45,SART3,SRSF6,A1CF,FUS,RALYL
PABPC5	PABPC4,PABPC1,PABPC3,PABPC4L,PABPC1L,PABPC1L2B,PABPC1L2A,PABPC1P2,ELAVL1,SF3B4,TIA1,TIAL1,NCL,ELAVL2,ELAVL3,ELAVL4,RBMS3,PUF60,RBMS2,RBMS1,HNRNPM,RBM19,SPEN,NONO,MYEF2,SYNCRIP,RBM39,HNRNPR,RBM23,HNRNPA2B1,HNRNPA1,PSPC1,A1CF,SFPQ,HNRNPA1L2,RBM28,CELF3,HNRNPA3,CSTF2,CELF6,RBMY1B,RBMY1B,RBMY1B,RBM4B,DAZAP1,HNRNPA0,HNRNPA3P1,CIRBP,BOLL,MSI2,CELF4,RBMY1F,SART3,CSTF2T,TRNAU1AP,MSI1,HNRNPAB,RBM34,RBMXL1,HNRNPD,RBMY2FP,RBMXL2,CELF5,HNRPDL,RBMX,RBM14,RBM42,RBM45,RBM3,RBM46,DAZL,RBM15B,SNRNP35,RBFOX1,U2AF2,RBM11,RBFOX2,RBMXL3,CELF1,RBFOX3,RBM25,CELF2,RBM7,SNRNP70,SRSF10,DAZ1,DAZ3,DAZ4,RBM38,DAZ2,EIF3G,RBM24,RAVER1,U2SURP,TRA2A,RBM8A,ALYREF,PPIL4,SAFB,SAFB2
PABPC4L	PABPC4,PABPC1,PABPC3,PABPC1L,PABPC5,PABPC1L2B,PABPC1L2A,PABPC1P2,SF3B4,TIAL1,ELAVL1,TIA1,ELAVL2,ELAVL4,SYNCRIP,ELAVL3,NCL,TRNAU1AP,HNRNPR,PUF60,RBM39,A1CF,RBM28,RBMS1,RBM23,RBMS3,HNRNPD,RBM19,RBMS2,HNRNPA0,RBM42,PSPC1,MYEF2,MSI2,RBM3,SFPQ,HNRNPA3,RBFOX3,NONO,HNRNPA3P1,MSI1,HNRNPA2B1,HNRNPA1L2,RBFOX1,RBM46,RBFOX2,RBMXL2,RBMXL3,HNRNPA1,HNRNPM,RBM14,HNRNPAB,RBM4B,SRSF10,CELF1,CELF5,CELF3,SPEN,CIRBP,RBMXL1,CELF6,SRSF2,HNRPDL,RBMX,RBM7,SRSF12,BOLL,RBMY1B,RBMY1B,RBMY1B,PPIE,RBM45,RBM47,RBMY1F,PPIL4,ALYREF,NCBP2,CELF2,RBM11,U2SURP,ZCRB1,DAZAP1,MKI67IP,CSTF2,SRSF6,RBM15B,CSTF2T,RBM34,SART3,EIF3G,TRA2A,TRA2B,RBM15,CELF4,RALY,SRSF5,TARDBP,RBMX2,RBM8A,RBM18
PABPC3	PABPC1,PABPC4,PABPC1L,PABPC4L,PABPC5,PABPC1P2,PABPC1L2B,PABPC1L2A,TIA1,SF3B4,ELAVL1,TIAL1,NCL,ELAVL2,PUF60,SYNCRIP,HNRNPR,ELAVL3,ELAVL4,RBMS3,RBM19,MYEF2,RBMS1,RBMS2,RBM39,RBM23,RBM28,HNRNPD,RBM47,UBR5,RBM4B,RBM46,A1CF,HNRNPM,HNRNPA1,RBMY1B,RBMY1B,RBMY1B,HNRNPA1L2,RBMY1F,HNRNPA3,DAZAP1,HNRNPA2B1,TRA2A,CELF4,HNRPDL,HNRNPAB,TRNAU1AP,RBMXL2,RBMX,MSI2,CIRBP,CSTF2,RBMXL1,HNRNPA0,TRA2B,NONO,RBFOX3,SFPQ,MSI1,RBFOX2,CSTF2T,RBFOX1,RBM3,CELF3,RBMXL3,RBM14,HNRNPA3P1,CELF6,CELF5,RBMY2FP,SART3,CELF1,BOLL,DAZL,RBM15B,U2SURP,PSPC1,SPEN,RBM7,RBM42,RBM45,PPIE,CELF2,DAZ1,DAZ3,DAZ4,DAZ2,SRSF6,U2AF2,RBM34,EIF3G,SRSF5,TARDBP,SRSF10,ALYREF,SAFB,RAVER2,RNPC3,RBM11
PABPC1P2	PABPC1,PABPC3,PABPC4,PABPC1L,PABPC4L,PABPC5,SF3B4,CELF2,TIA1,CELF3,CELF5,CELF1,CELF6,RBM28,PABPC1L2B,PABPC1L2A,MYEF2,RBM42,RBM39,TIAL1,HNRNPM,ELAVL1,RBMS2,RBM19,RBM11,ELAVL4,ELAVL3,RBM3,ELAVL2,RBM23,RBMS1,RBMS3,RBM15B,A1CF,BOLL,HNRNPR,RBMXL2,SPEN,RBM15,SYNCRIP,RBFOX3
METAP2	PA2G4
PDIA2	P4HB,PDILT,PDIA4,PDIA3,PDIA3P,ERP27,PDIA5,TXNDC5,PDIA6,ERP44,TMX3,DNAJC10,TXN2,TMX1,QSOX1,QSOX2,GLRX3,TXNDC11,TXN
ERP27	P4HB,PDILT,PDIA2
PDILT	P4HB,PDIA2,PDIA4,ERP27,PDIA3,PDIA3P,ERP44,TXNDC5,PDIA5
P4HA1	P4HA2,P4HA3,P4HTM
P4HA3	P4HA2,P4HA1,P4HTM,CRTAP,LEPREL1
P4HA2	P4HA1,P4HA3,P4HTM
P4HTM	P4HA1,P4HA2,P4HA3
P2RY2	P2RY4,P2RY6,P2RY1,OXGR1,LPAR6,GPR17,LPAR4,CYSLTR2,CYSLTR1,F2R,GPR183,SUCNR1,P2RY8,GPR174,P2RY8,F2RL1,OPRM1,AGTR2,GPR34,HCAR3,F2RL2,PTAFR,SSTR4,HCAR2,SSTR1,GPR4,CMKLR1,P2RY10,SSTR5,SSTR2,LPAR5,CCR1,PTGDR2,GPR87,OPRD1,APLNR,OPRK1,GPR31,GPR35,CXCR4,SSTR3,CCR8,GPR65,P2RY14,NPBWR2,F2RL3,FPR2,GPR25,GPR68,FPR1,RXFP3,CCR6,HCAR1,GPR132,CCR7,CXCR2,CXCR1,CXCR7,CXCR5,P2RY12,GPR18,CCR3,GPR20,CCR9,PPAN-P2RY11,CCRL1,AGTR1,GPR1,OXER1,GPR15,CCR5,OPRL1,FPR3,NPBWR1,P2RY13,CXCR3,CCR4,CXCR6,BDKRB2,XCR1,FFAR3,MCHR1,TACR3,FFAR3,NMUR2,CX3CR1,CCR2,C5AR1,CCBP2,CCR10,MCHR2,GALR2,GPR82,GPR182,TACR2,UTS2R,RXFP4,MLNR,LTB4R,TACR1
P2RY6	P2RY4,P2RY2,P2RY1,LPAR4,OXGR1,LPAR6,GPR17,SUCNR1,F2RL3,GPR4,P2RY8,P2RY8,P2RY10,LPAR5,GPR68,GPR183,CYSLTR1,CYSLTR2,GPR174,F2RL2,HCAR3,F2R,CCR1,HCAR2,CCR4,AGTR1,APLNR,F2RL1,NPBWR2,SSTR5,PPAN-P2RY11,CCR3,OPRD1,GPR132,NPBWR1,GPR65,CXCR1,CCR6,GPR182,OPRK1,CXCR3,CXCR7,SSTR2,UTS2R,CXCR4,OPRM1,CXCR2,CCBP2,CCR9,CCR2,SSTR3,SSTR1,AGTR2,XCR1,GPR20,CCR7,CCR10,SSTR4,BDKRB2,GPR35,BDKRB1,CCR5,FFAR3,HCAR1,GPR34,FFAR3,OPRL1,GPR1,FPR2,LTB4R,CCR8,CXCR5,C5AR1,MCHR2,CXCR6,CCRL1,FPR1,GPR18,GPR15,GALR2,GHSR,PTAFR,OXER1,CX3CR1,TACR1,GPR87,CMKLR1,C5AR2,RXFP3,MLNR,FPR3,GPR83,C3AR1,GPR55,TACR3,P2RY14,RXFP4,FFAR1,GPR31,GPR25
P2RY4	P2RY2,P2RY1,P2RY6,OXGR1,GPR17,LPAR6,LPAR4,F2RL1,SUCNR1,F2R,LPAR5,GPR183,GPR174,P2RY8,P2RY8,PTAFR,F2RL2,OPRD1,AGTR1,CYSLTR2,OPRM1,CCR9,GPR34,OPRK1,CYSLTR1,CXCR5,HCAR3,P2RY10,CCR8,CXCR3,SSTR5,SSTR1,GPR87,PPAN-P2RY11,GPR4,GPR1,SSTR4,GPR25,CXCR2,HCAR2,CCR7,CCR1,AGTR2,CXCR4,CXCR7,F2RL3,APLNR,GPR68,CXCR1,CCR3,GPR65,OPRL1,CCR4,SSTR2,SSTR3,GPR31,P2RY12,GPR35,OXER1,GPR20,CCBP2,FFAR3,FPR1,P2RY14,P2RY13,GPR132,CCR5,CCR6,GPR15,FFAR3,C5AR1,NPBWR2,FPR2,CCRL1,CCR2,FPR3,CMKLR1,FFAR2,CXCR6,NPBWR1,TACR1,RXFP3,GPR171,XCR1,GPR18,GALR3,MLNR,GHSR,GPR82,CCR10,CX3CR1,BDKRB2,TACR2,UTS2R,RXFP4,HCAR1,BDKRB1,GPR182,GPR55,TACR3
GPR171	P2RY14,P2RY13,P2RY12,GPR87,GPR34,GPR17,CYSLTR1,GPR183,PTAFR,LPAR6,P2RY1,CYSLTR2,BDKRB2,CXCR7,CXCR2,LPAR5,P2RY4,CCR8,SSTR1,LPAR4,CCBP2,XCR1,P2RY2,CXCR4,OPRM1,CXCR5,CXCR1,OPRK1,P2RY10,OPRD1,AGTR2,F2RL1,SUCNR1,HCAR3,SSTR2,GPR31,GPR68,GPR4,GPR174,FPR1,CCR4,F2RL2,CCR9,CCR1,CCR2,GPR82,APLNR,CCR5,CX3CR1,HCAR2,CXCR3,GPR18,GPR65,GPR132,P2RY8,P2RY8,OXGR1,AGTR1,SSTR4,FPR3,CCRL1,P2RY6,BDKRB1,GPR15,F2RL3,GPR182,C5AR1,OPRL1,CCR3,GPR141,HCAR1,GPER,SSTR3,FFAR3,F2R,GPR1,GPR55,MCHR1,CCRL2,GPR35,FFAR3,GNRHR,CCR7,NPBWR1,SSTR5,CCR6,GALR1,QRFPR,FPR2,TACR1,GPR25,OXER1,MTNR1B,TACR2,MTNR1A,C5AR2,LTB4R2,LTB4R,CCR10,GPR50
GPR87	P2RY14,P2RY12,P2RY13,GPR171,CYSLTR2,F2RL2,GPR34,GPR17,GPR183,P2RY4,PTAFR,F2RL1,P2RY2,CYSLTR1,P2RY1,CXCR4,CCR4,BDKRB2,P2RY8,P2RY8,LPAR6,P2RY10,LPAR4,SSTR5,SSTR3,APLNR,OPRM1,SSTR1,HCAR1,F2R,CCR8,FPR1,OPRK1,GPR18,CCR2,CCRL1,GPR174,AGTR1,HCAR3,CXCR7,CCR1,CCR5,SUCNR1,LPAR5,OPRD1,GPR68,FPR3,HCAR2,CXCR6,GPR15,SSTR4,MCHR2,CMKLR1,SSTR2,CCR9,GPR20,AGTR2,CCR3,CCR6,GPR65,XCR1,OPRL1,FPR2,GPR1,CXCR2,CCR7,CXCR5,OXGR1,F2RL3,CXCR1,CCBP2,GPR182,CX3CR1,CXCR3,GPR31,C5AR1,MCHR1,GHSR,BRS3,BDKRB1,GPR132,NPBWR2,GPR4,GPR141,FFAR3,RXFP3,NPBWR1,P2RY6,GPR25,GPR35,FFAR3,GPR82,GALR1,OXER1,TACR1,RXFP4,LTB4R,FFAR2,TACR2,UTS2R
GPR34	P2RY14,GPR17,P2RY12,PTAFR,LPAR4,P2RY13,LPAR6,GPR183,CYSLTR2,CYSLTR1,GPR171,GPR87,P2RY4,P2RY2,F2RL2,GPR18,P2RY1,F2R,CCR1,AGTR1,CCR8,HCAR3,GPR174,OXGR1,GPR68,P2RY8,P2RY8,BDKRB1,SUCNR1,F2RL1,HCAR2,GPR4,GPR1,CXCR1,GPR82,SSTR2,CXCR7,CCR3,OPRD1,HCAR1,GPR132,OPRK1,BDKRB2,SSTR1,F2RL3,CXCR2,CCR4,OPRM1,AGTR2,LPAR5,GPR31,CXCR5,CCR9,CCR2,GPR20,P2RY10,CXCR4,CCR6,GPR35,APLNR,SSTR4,GPR15,FFAR3,CCBP2,CCRL1,CCR5,FFAR2,FFAR3,GALR1,CXCR3,GALR2,GPER,P2RY6,CMKLR1,SSTR5,PRLHR,GHSR,LTB4R,OXER1,CXCR6,NPBWR1,NPBWR2,OPRL1,C5AR1,GPR55,XCR1,MTNR1A,PTGDR2,GPR141,MLNR,CX3CR1,SSTR3,FPR3,RXFP3,CCR7,TACR1,HRH2,GPR50,NMUR2,MRGPRX4
P2RY12	P2RY13,P2RY14,GPR87,GPR171,GPR34,PTAFR,GPR183,AGTR1,LPAR6,CYSLTR2,GPR17,APLNR,GPR68,F2RL1,LPAR4,F2RL2,CYSLTR1,P2RY4,OPRK1,OPRM1,CXCR4,CXCR2,CCBP2,CXCR7,CCR4,CCR5,GPR174,LPAR5,GPR18,CCR9,CCR7,P2RY2,CCR1,HCAR2,SSTR1,CXCR6,P2RY1,SSTR2,CXCR1,HCAR3,XCR1,CCR6,GPR15,NPBWR2,BDKRB1,CCR8,P2RY10,BDKRB2,FFAR2,SSTR4,CCR2,CCRL1,GPR4,P2RY8,P2RY8,MCHR1,BRS3,OPRD1,F2R,CXCR3,FPR3,OPRL1,SSTR3,AGTR2,FPR1,FFAR3,MCHR2,CXCR5,CCR3,FFAR3,GPR31,CX3CR1,P2RY6,GPR65,GPR82,GRPR,SSTR5,OXGR1,SUCNR1,CMKLR1,NPBWR1,F2RL3,HCAR1,FPR2,RXFP3,CCKAR,LTB4R,GPR20,C3AR1,GPR182,CCKBR,GALR1,C5AR1,GPR35,CCR10,EDNRA,CCRL2,NPSR1,GPER,PRLHR
P2RY14	P2RY13,GPR87,P2RY12,GPR171,GPR34,PTAFR,GPR17,GPR183,CYSLTR1,CXCR2,P2RY1,F2RL1,LPAR6,P2RY2,LPAR4,F2RL2,CXCR1,CCR1,APLNR,CCR4,CCR5,P2RY4,GPR15,CYSLTR2,CCR2,AGTR1,LPAR5,XCR1,GPR68,CCR3,GPR18,CCR6,CMKLR1,CCR8,BDKRB2,GPR174,CXCR7,SSTR2,FPR1,P2RY10,SSTR1,CCR9,FPR3,CCBP2,OPRK1,C5AR1,HCAR3,GPR82,F2R,OPRM1,SSTR4,CXCR4,OXGR1,P2RY6,FPR2,P2RY8,P2RY8,CXCR6,NPBWR1,HCAR2,SUCNR1,HCAR1,SSTR3,AGTR2,GPR1,BDKRB1,SSTR5,CX3CR1,GPR65,GPR132,UTS2R,CXCR3,OPRL1,OPRD1,GPR4,F2RL3,CCR7,CCRL1,NPBWR2,CXCR5,GPR31,MCHR1,GPR35,CCR10,GALR1,CCRL2,GPR141,PTGDR2,NMBR,GPR55,GRPR,BRS3,FFAR2,LTB4R,FFAR3,GPR182,C5AR2,C3AR1,FFAR3,GPR20
P2RY13	P2RY12,P2RY14,GPR87,GPR171,GPR34,GPR17,PTAFR,GPR183,F2RL2,CYSLTR1,F2R,LPAR5,LPAR4,LPAR6,FFAR2,F2RL3,GPR4,CYSLTR2,GPR15,AGTR1,OPRK1,F2RL1,APLNR,P2RY1,P2RY2,SSTR1,FFAR3,FFAR3,GPR35,CXCR2,GPR18,GPR68,OPRM1,SSTR4,SSTR3,P2RY8,P2RY8,C5AR1,XCR1,HCAR3,P2RY4,GPR174,HCAR2,CXCR1,GPR82,CXCR3,OPRD1,CXCR4,GPR65,CCBP2,GPR31,CXCR5,BDKRB2,SSTR2,GPR20,CCR9,SSTR5,P2RY6,FPR3,GPR55,CCR5,P2RY10,CMKLR1,FPR2,GALR3,FPR1,CCR7,MCHR1,CCR2,OXER1,CXCR7,CCRL1,OPRL1,CCR8,GPR132,CCR1,SUCNR1,MCHR2,HCAR1,NPBWR2,BDKRB1,CCR6,GPR25,C3AR1,CXCR6,GALR2,OXGR1,GALR1,CCR4,GPR182,CCR3,NPBWR1,GPR1,C5AR2,GPR84,TACR1,AGTR2,FFAR1,PTGDR2,NPY2R
GPR174	P2RY10,LPAR4,LPAR6,CYSLTR1,GPR17,F2RL1,P2RY1,P2RY4,GPR183,PTAFR,P2RY2,SUCNR1,CYSLTR2,P2RY8,P2RY8,LPAR5,GPR34,GPR65,P2RY6,CXCR2,AGTR2,GPR68,APLNR,CXCR1,AGTR1,HCAR3,GPR4,CCR4,GPR55,BDKRB1,OPRK1,GPR18,BDKRB2,CXCR7,HCAR2,F2R,GPR1,OPRD1,CCR1,GPR87,OPRM1,FFAR2,GPR132,CXCR5,P2RY12,P2RY14,F2RL2,CX3CR1,OXGR1,SSTR4,GPR20,SSTR1,F2RL3,CCR3,NPBWR1,GPR182,SSTR2,FFAR3,CCR6,CCR9,P2RY13,FFAR3,TACR1,HCAR1,CCRL1,GPR171,SSTR5,OPRL1,RXFP3,C5AR1,CMKLR1,CXCR3,CCR7,CCBP2,GPR35,GPR15,CCR5,OXER1,GPER,NPBWR2,FPR1,GPR31,SSTR3,FPR3,CCR8,UTS2R,CXCR6,GPR32,GALR1,RXFP4,MCHR2,CCR2,TACR3,CXCR4,XCR1,NPY1R,FPR2,GPR83,NMBR,GPR141
OXGR1	P2RY1,P2RY4,P2RY2,SUCNR1,CYSLTR2,P2RY6,GPR17,CCR9,F2R,GPR183,CCR3,F2RL1,P2RY8,P2RY8,CXCR4,CYSLTR1,GPR65,GPR4,LPAR6,CXCR2,AGTR2,CCR7,F2RL2,LPAR4,CCR1,GPR18,CCR8,HCAR3,CXCR1,MCHR1,GPR34,CCR4,MCHR2,LPAR5,HCAR2,GPR15,GPR1,F2RL3,CCR5,AGTR1,GPR68,SSTR2,APLNR,CXCR5,SSTR1,SSTR4,XCR1,CCR6,CXCR6,CCR2,OPRM1,HCAR1,BDKRB2,CXCR7,CMKLR1,CXCR3,SSTR5,GPR132,GALR1,GPR174,CX3CR1,OPRK1,GPR31,CCBP2,CCRL1,P2RY10,PTAFR,FPR2,FPR3,SSTR3,NPBWR2,OXER1,PPAN-P2RY11,GPR25,P2RY14,RXFP3,BDKRB1,GPR87,NPBWR1,FFAR3,OPRD1,FPR1,FFAR3,LTB4R,UTS2R,GPR182,TACR1,C5AR1,FFAR2,GPR35,PROKR2,GALR2,P2RY12,NMBR,TACR3,GPER,PROKR1,TACR2,P2RY13,OPRL1
SUCNR1	P2RY1,OXGR1,P2RY2,P2RY4,CYSLTR2,CYSLTR1,GPR174,P2RY6,LPAR6,HCAR2,GPR1,GPR15,CCR4,CCR1,LPAR4,CXCR2,CXCR1,GPR183,GPR17,GPR34,GALR1,F2RL1,AGTR1,CCR6,HCAR3,SSTR4,OPRK1,CX3CR1,GPR31,SSTR1,GPR65,P2RY10,F2RL2,SSTR2,SSTR5,CCBP2,CCR3,CCR8,GPR35,OPRD1,CXCR7,BDKRB2,CCR9,CXCR6,CCR2,CCRL1,AGTR2,GPR4,OPRL1,HCAR1,OXER1,CXCR4,APLNR,GALR2,PTAFR,BDKRB1,GPR68,OPRM1,FPR2,NPBWR2,CCR7,SSTR3,XCR1,CMKLR1,NMUR2,MCHR2,CXCR3,GPR87,FPR3,LTB4R,GPR132,KISS1R,FPR1,GPER,CCR5,NPBWR1,GPR182,LPAR5,PRLHR,GPR25,MCHR1,PPAN-P2RY11,MTNR1A,GHSR,F2R,QRFPR,P2RY8,GRPR,P2RY8,GPR171,C5AR1,F2RL3,P2RY14,TACR3,NPY1R,FFAR2,GPR18,CXCR5,TACR2,TACR1
P2RY11	P2RY1,GPR17,P2RY4,OXER1,P2RY2,P2RY6,HCAR1,F2RL1,HCAR3,HCAR2,F2RL3,LPAR4,OXGR1,F2RL2,APLNR,SSTR1,SUCNR1,P2RY8,P2RY8,CYSLTR2,SSTR5,SSTR2,GPR183,FPR2,SSTR3,GPR15,LPAR6,C5AR1,CMKLR1,GPR31,F2R,FPR1,GPR1,GPR4,AGTR2,C3AR1,GPR20,GPR68,CXCR7,FFAR3,TACR2,SSTR4,GALR3,FPR3,NMUR1,LPAR5,CCR10,P2RY10,AGTR1,GPR87,FFAR3,GPR132,CXCR4,CCBP2,LTB4R,BDKRB1,CCR9,CCR1,OPN5,OPRD1,PTGDR2,GPR65,CCRL1,GPR174,CCKAR,AVPR2,BDKRB2,GPR152,CXCR5,CXCR3,GALR2,QRFPR,GPR35,NTSR1,OPRM1,NMUR2,LTB4R2,CCR7,CCR2,NPY1R,CYSLTR1,CX3CR1,OR2AG2,TACR3,PRLHR,MCHR1,NPFFR1,MTNR1B,GPR83,RXFP4,OPN4,AVPR1B,GPR182,CCR3,MCHR2,GPR32,CCR5,HTR1F,GPR25,KISS1R
P2RX5	P2RX4,P2RX6,P2RX3,P2RX1,P2RX2,P2RX7
P2RX5-TAX1BP3	P2RX4,P2RX6,P2RX3,P2RX1,P2RX2,P2RX7
P2RX3	P2RX4,P2RX2,P2RX1,P2RX5,P2RX6,P2RX7
P2RX7	P2RX4,P2RX1,P2RX3,P2RX2,P2RX6,P2RX5,C12orf76
P2RX2	P2RX3,P2RX4,P2RX5,P2RX1,P2RX6,P2RX7
P2RX4	P2RX1,P2RX3,P2RX5,P2RX6,P2RX2,P2RX7
GPR150	OXTR,NPSR1,AVPR1B,AVPR2,AVPR1A
STK39	OXSR1,STK24,STK25,MST4,STK4,STK3,MYO3A,PAK3,MAP4K3,PAK2,PAK1,TNIK,MAP4K2,TAOK3,MINK1,MAP4K5,PAK4,STK10,SLK,MAP4K4,PAK7,MAP4K1,TAOK1,MYO3B,TAOK2,PAK6,NRK,STRADA,STRADB,MAP2K4,MAP3K19,MAP3K15,MAP3K5,NEK7,NEK6,CAMK1,MAP3K4,STK32A,MAP2K5,MAP3K6,NEK5,MAP2K6,NEK8,MAP3K3,DAPK3,MAP2K1,SIK2,NUAK1,NEK9,MAP3K2,PHKG2,CAMK1D,ULK1,NEK11,NEK3,MARK3,STK36,STK32B,MARK1,ULK2,MAP2K2,MAP2K7,CAMK4,MARK2,PLK1,MAP3K1,RPS6KA2,SIK1,SNRK,NEK4,NEK1,MAP3K7,BRSK1,PRKAA2,CAMK1G,MAP2K3,AURKC,CHEK2,PRKAA1,CDKL3,FPGT-TNNI3K,NUAK2,YES1,MARK4,PNCK,AKT3,SIK3,BMX,PLK3,HUNK,PRKCD,PHKG1,PRKG1,TEC,ULK4,RPS6KA6,PRKCQ,ABL1,ULK3,GRK5
COA7	OXR1,TLDC2,TLDC1,TBC1D24
NCOA7	OXR1,TLDC2,TLDC1,TBC1D24
TLDC2	OXR1,NCOA7,TLDC1,TBC1D24
OXCT1	OXCT2
OXCT2	OXCT1
COX18	OXA1L
OVOL1	OVOL2,OVOL3,MYNN,ZNF561,ZNF429,ZNF749,ZNF585B,ZNF585A,ZBTB17,ZNF225,ZNF812,ZNF805,ZNF778,ZNF235,ZNF121,ZNF562,ZNF560,ZFP28,ZSCAN26,ZNF200,ZNF846,ZNF175,ZNF813,ZKSCAN8,ZNF808,ZNF17,ZNF765,ZNF426,ZNF792,ZNF569,ZNF28,ZNF667,ZNF484,ZNF177,ZNF236,ZNF460,ZNF596,ZNF84,ZNF836,ZFP62,ZNF84,ZNF93,ZNF718,ZNF74,ZNF891,ZNF554,ZNF253,ZNF468,ZNF514,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF727,ZNF333,ZNF696,ZNF624,ZNF845,ZFP1,ZNF284,ZNF606,ZNF184,ZNF43,ZFP69B,ZNF345,ZIM3,ZFP112,ZNF860,ZNF883,ZFP69,ZNF540,ZNF721,ZNF41,ZNF347,ZNF525,ZNF154,ZNF133,ZNF57,ZNF675,ZNF568,ZNF35,ZNF141,PRDM9,ZNF85,ZNF267,ZNF70,PRDM5,ZNF594,ZBTB14,ZNF559,ZNF676,ZNF578,ZNF256,GZF1,ZNF337,ZNF354B,ZNF680
